Name,Street,City,State,ZIP,ACTState,
"A.M. ""MAC"" STRINGFELLOW UNIT",1200 FM 655,Rosharon,TEXAS,77583,TEXAS,
"ABODE TREATMENT, INC.",701 South Cherry Lane,White Settlement,TEXAS,76108,TEXAS,
"ABODE TREATMENT, INC.",723 South Peak Street,Dallas,TEXAS,75223,TEXAS,
"ABUNDANCE LIVING, INC.",8512 1/2 Wheatley Street,Houston,TEXAS,77088,TEXAS,
ACTON CONSERVATION CAMP,8800 SOLEDAD CANYON RD,Action,CALIFORNIA,93510,CALIFORNIA,
ADAMS COUNTY CORRECTIONAL  CENTER CI,20 HOBO FORK ROAD,NATCHEZ,MISSISSIPPI,39120,MISSISSIPPI,
ADAPPT TREATMENT SERVICES (218),417-419 WALNUT STREET,READING,PENNSYLVANIA,19601,PENNSYLVANIA,
ADIRONDACK CORRECTIONAL FACILITY,196 RAY BROOK ROAD,RAYBROOK,NEW YORK,12977,NEW YORK,
ADULT DIAGNOSTIC & TREATMENT CENTER,8 PRODUCTION WAY,Avenel,NEW JERSEY,7001,NEW JERSEY,
ADVANTAGE TREATMENT CENTER,22101 HWY 61,STERLING,COLORADO,80751,COLORADO,
AIRWAY HEIGHTS CORRECTIONAL CENTER,11919 W. SPRAGUE AVE,Airway Heights,WASHINGTON,99001,WASHINGTON,
ALBANY TRANSITIONAL CENTER,304 NORTH WASHINGTON STREET,ALBANY,GEORGIA,31701,GEORGIA,
ALBEMARLE CORRECTIONAL INSTITUTION,44150 AIRPORT ROAD,NEW LONDON,NORTH CAROLINA,28127,NORTH CAROLINA,
ALBERT WAGNER YOUTH CORRECTIONAL FACILITY,PO Box 500,Bordentown,NEW JERSEY,8505,NEW JERSEY,
ALBION CORRECTIONAL FACILITY,3595 State School Road,Albion,NEW YORK,14411,NEW YORK,
ALCORN COUNTY COMMUNITY WORK CENTER,2407 NORMAN ROAD,Corinth,MISSISSIPPI,38834,MISSISSIPPI,
ALCORN COUNTY REGIONAL CORRECTIONAL  FACILITY,2839 SOUTH HARPER ROAD,CORINTH,MISSISSIPPI,38834,MISSISSIPPI,
ALDER CONSERVATION CAMP,1400 ALDER CAMP RD,KLAMATH,CALIFORNIA,95548,CALIFORNIA,
Alderson FPC,GLEN RAY RD. BOX A,ALDERSON,WEST VIRGINIA,24910,WEST VIRGINIA,
ALEX CITY Community Based Facility,Highway 22 W,Alex City,ALABAMA,35011,ALABAMA,
ALEXANDER CORRECTIONAL INSTITUTION,633 OLD LANDFILL RD.,TAYLORSVILLE,NORTH CAROLINA,28681,NORTH CAROLINA,
ALFRED D. HUGHES UNIT,3201 FM 929,Gatesville,TEXAS,76597,TEXAS,
ALGER CORRECTIONAL FACILITY,N6141 INDUSTRIAL PARK DRIVE,MUNISING,MICHIGAN,49862,MICHIGAN,
ALGOA CORRECTION CENTER,8501 No More Victims Road,Jefferson City,MISSOURI,65101,MISSOURI,
ALLAN B. POLUNSKY UNIT,3872 FM 350 S,Livingston,TEXAS,77351,TEXAS,
ALLE- KISKI PAVILION (315),1704 FOURTH AVENUE,ARNOLD,PENNSYLVANIA,15068,PENNSYLVANIA,
ALLEN CORRECTIONAL CENTER - GEO Group,3751 LAUDERDALE WOODYARD ROAD,KINDER,LOUISIANA,70648,LOUISIANA,
ALLEN CORRECTIONAL INSTITUTION,2338 N W ST,LIMA,OHIO,45801,OHIO,
ALLENDALE CORRECTIONAL INSTITUTION,1057 REVOLUTIONARY TRAIL,FAIRFAX,SOUTH CAROLINA,29827,SOUTH CAROLINA,
ALLENTOWN CENTER (202),608-610 HAMILTON MALL,ALLENTOWN,PENNSYLVANIA,18101,PENNSYLVANIA,
ALLENWOOD LOW FCI,"RT 15,2 MILES N OF ALLENWOOD",WHITE DEER,FEDERAL,17887,PENNSYLVANIA,
ALLENWOOD MED FCI,"RT 15, 2 MI N OF ALLENWOOD",WHITE DEER,FEDERAL,17810,PENNSYLVANIA,
ALLENWOOD USP,"RT 15,2 MILES N OF ALLENWOOD",ALLENWOOD,FEDERAL,17810,PENNSYLVANIA,
Alpha House,2300 E. Division Street,Springfield,MISSOURI,65803,MISSOURI,
ALTERNATIVE PROGRAM,203 W SUNNY LANE ROAD,JANESVILLE,WISCONSIN,53546,WISCONSIN,
ALTERNATIVES INC. - ALPHA HOUSE,3109 1ST AVENUE N,BILLINGS,MONTANA,59103,MONTANA,
ALTONA CORRECTIONAL FACILITY,555 DEVILS  DEN ROAD,ALTONA,NEW YORK,12910,NEW YORK,
ALTUS WORK CENTER,301 W BROADWAY,ALTUS,OKLAHOMA,73521,OKLAHOMA,
ALVIS HOUSE COPE CENTER DAYTON,42 Arnold Place,Dayton,OHIO,45402,OHIO,
ALVIS HOUSE OHIO LINK - TOLEDO,2012 Madison Ave,Toledo,OHIO,43604,OHIO,
