Facility,State,Agency / Authority,ICE Field Office,System Type,County,Management,"Confirmed Cases
OUTSIDE SOURCES (Detainees)","ACTIVE Confirmed Cases - ICE DATA
(Detainees)",TOTAL Confirmed Cases - ICE DATA (Detainees),Confirmed Cases - OUTSIDE SOURCES (Staff),Confirmed Cases - ICE DATA (Staff),Confirmed Deaths (Detainees),Confirmed Deaths (Staff),Visitation Policy,Last Updated Date,Sources,Additional Notes
Charleston County Detention Center,Georgia,NA,Atlanta,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2020-06-26T00:00:00Z,NA,NA
Folkston ICE Processing Center,Georgia,DHS/ICE,Atlanta,ICE-dedicated,Charlton County,GeoGroup,NA,9,9,NA,None reported yet,NA,NA,NA,2020-07-06T00:00:00Z,https://www.ice.gov/coronavirus,https://www.miamiherald.com/news/local/immigration/article242485081.html
Irwin County Detention Center,Georgia,DHS/ICE,Atlanta,Non ICE-dedicated,Irwin County,NA,NA,12,18,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Stewart Detention Center,Georgia,DHS/ICE,Atlanta,ICE-dedicated,Stewart County,CoreCivic,NA,33,68,NA,2,1,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Bristol County House of Corrections,Massachusetts,DHS/ICE,Boston,Non ICE-dedicated,Bristol County,NA,NA,0,1,NA,0,NA,NA,In person visitation suspended.,2020-06-30T00:00:00Z,https://www.ice.gov/coronavirus,May - violent clash over coronavirus tests. Detainees who exhibited symptoms refused to be taken to another unit to be tested; asked to bee tested in their own unit to avoid cross-contamination. https://www.nbcnews.com/news/us-news/violent-clash-over-coronavirus-tests-ice-detention-center-massachusetts-3-n1198726
Franklin County House of Corrections,Massachusetts,DHS/ICE,Boston,Non ICE-dedicated,Franklin County,NA,NA,5,6,NA,None reported yet,NA,NA,NA,2020-06-24T00:00:00Z,https://www.ice.gov/coronavirus,NA
Strafford County House of Corrections,New Hampshire,DHS/ICE,Boston,Non ICE-dedicated,Strafford County,NA,2,2,2,NA,None reported yet,NA,NA,NA,2020-06-03T00:00:00Z,https://www.seacoastonline.com/news/20200519/strafford-county-leaders-defend-jail-against-aclu-lawsuit,2nd Case: https://www.unionleader.com/news/health/coronavirus/second-ice-detainee-tests-positive-for-covid-19-at-strafford-county-jail/article_79cdc3cb-1a47-56d3-bc6b-57883b226ec0.html
Wyatt Detention Center,Rhode Island,DHS/ICE,Boston,Non ICE-dedicated,Providence County,Central Falls Detention Facility Corporation,NA,0,2,NA,None reported yet,NA,NA,NA,2020-06-24T00:00:00Z,https://www.ice.gov/coronavirus,NA
Buffalo Federal Detention Facility / Buffalo (Batavia) Service Processing Center,New York,DHS/ICE,Buffalo,ICE-dedicated,Genesee County,NA,NA,0,49,NA,NA,NA,NA,NA,2020-05-01T00:00:00Z,https://www.ice.gov/coronavirus,NA
Lincoln County Detention Center,Missouri,DHS/ICE,Chicago,Non ICE-dedicated,Lincoln County,NA,NA,0,1,NA,None reported yet,NA,NA,NA,2020-06-16T00:00:00Z,https://www.ice.gov/coronavirus,NA
Pulaski County Detention Center,Illinois,DHS/ICE,Chicago,Non ICE-dedicated,Pulaski County,NA,NA,5,50,NA,None reported yet,NA,NA,NA,2020-07-06T00:00:00Z,https://www.ice.gov/coronavirus,NA
Bluebonnet Detention Facility,Texas,DHS/ICE,Dallas,Non ICE-dedicated,Hockley County,MTC,NA,151,286,NA,None reported yet,NA,NA,NA,2020-07-06T00:00:00Z,https://www.ice.gov/coronavirus,"ICE protocol for transfers: Detainees are medically screened and cleared for travel, issued a mask, and in some cases, have their temperatures taken, according to court filings and ICE statements. But it does not routinely test prior to moving detainees from one place to the next."
Johnson County Law Enforcement Center,Texas,DHS/ICE,Dallas,Non ICE-dedicated,Johnson County,NA,NA,1,1,NA,None reported yet,NA,NA,NA,2020-06-03T00:00:00Z,NA,NA
Prairieland Detention Center,Texas,DHS/ICE,Dallas,ICE-dedicated,Johnson County,CoreCivic,NA,13,57,NA,None reported yet,NA,NA,NA,2020-07-07T00:00:00Z,https://www.ice.gov/coronavirus,NA
Moore Detention Center,Texas,DHS/ICE,Dallas,NA,NA,NA,NA,19,19,NA,NA,NA,NA,NA,2020-06-24T00:00:00Z,https://www.ice.gov/coronavirus,NA
Rolling Plains Detention Facility,Texas,DHS/ICE,Dallas,ICE-dedicated,Haskell County,LaSalle Corrections,NA,0,55,NA,None reported yet,NA,NA,NA,2020-07-10T00:00:00Z,https://www.ice.gov/coronavirus,NA
Aurora Contract Detention Facility,Colorado,DHS/ICE,Denver,ICE-dedicated,Arapahoe County,GeoGroup,11,10,17,2,2,NA,NA,NA,2020-07-07T00:00:00Z,https://www.ice.gov/coronavirus; https://www.coloradoindependent.com/2020/05/05/colorado-coronavirus-first-cases/; https://www.denverpost.com/2020/05/21/ice-covid19-confirmed-cases-aurora/; https://www.newsbreak.com/colorado/aurora/news/0PBMBuY6/nine-more-ice-detainees-inaurora-test-positive-for-covid-19,"ICE released eight medically vulnerable detainees on April 15. 
"
Calhoun County Correction Center,Michigan,DHS/ICE,Detroit,NA,Calhoun County,NA,NA,3,6,NA,None reported yet,NA,NA,NA,2020-06-18T00:00:00Z,NA,NA
Morrow County Correctional Facility,Ohio,DHS/ICE,Detroit,Non ICE-dedicated,Morrow County,NA,NA,0,48,NA,None reported yet,NA,NA,NA,2020-06-24T00:00:00Z,NA,"""Although ICE has reported the number of people who have tested positive for COVID-19 at specific facilities, it has not provided information as to how many people at each facility have been tested — critical information to understand how widespread the virus is."""
Saint Clair County Jail,Michigan,DHS/ICE,Detroit,Non ICE-dedicated,St. Clair County,NA,NA,3,10,NA,None reported yet,NA,NA,NA,2020-06-30T00:00:00Z,https://www.ice.gov/coronavirus,NA
El Paso Processing Center,Texas,DHS/ICE,El Paso,ICE-dedicated,El Paso County,NA,NA,24,136,NA,1,NA,NA,NA,2020-07-07T00:00:00Z,https://www.ice.gov/coronavirus,NA
Otero County Processing Center,New Mexico,DHS/ICE,El Paso,ICE-dedicated,Otero County,MTC,92,1,142,NA,None reported yet,NA,NA,NA,2020-07-07T00:00:00Z,NA,ACLU lawsuit
Torrance County Detention Center,New Mexico,NA,El Paso,NA,Torrance County,NA,NA,31,55,NA,None reported yet,NA,NA,NA,2020-06-30T00:00:00Z,https://www.ice.gov/coronavirus,NA
Houston Contract Detention Facility,Texas,DHS/ICE,Houston,ICE-dedicated,Montgomery County,NA,NA,18,122,NA,2,NA,NA,NA,2020-06-26T00:00:00Z,https://www.ice.gov/coronavirus; https://www.texasobserver.org/ice-immigrant-detention-centers-coronavirus-positive/,NA
IAH (Polk) Secure Adult Detention Facility,Texas,DHS/ICE,Houston,ICE-dedicated,Polk County,NA,NA,0,16,NA,None reported yet,NA,NA,NA,2020-05-13T00:00:00Z,https://www.ice.gov/coronavirus,NA
Joe Corley Detention Center,Texas,DHS/ICE,Houston,ICE-dedicated,Montgomery County,GeoGroup,NA,2,43,NA,None reported yet,1,NA,NA,2020-06-19T00:00:00Z,https://www.ice.gov/coronavirus,NA
