State,Facility,Authorizing Agent,"Known Capacity 
(if available)",Population Prior to Releases,"Overall Pop. Reduction / 
Total Number of Releases",Does the source report this reduction as a result of releases only or a mix of releases/policy changes?,Does the source give a more detailed breakdown on the releases?,"Breakdown of Releases:
Parole Tech Violation","Breakdown of Releases:
Lower Level/ Non-Violent Crimes","Breakdown of Releases: 
Short Time Left on Sentence","Breakdown of Releases:
Vulnerable Populations","Breakdown of Releases: 
Other (please explain)",Date,Legal Filing?,Source(s),Perma Links
Arkansas,Statewide,Parole Board/Gov,NA,17759,300,Releases only,Yes - See columns I-M,NA,NA,NA,NA,x,2020-05-12T00:00:00Z,NA,https://www.nwahomepage.com/lifestyle/health/coronavirus/approx-800-inmates-approved-for-early-release-covid-19-precaution/,perma.cc/7EWY-M4JA
Arkansas,Statewide,Governor and ADOC,15346,NA,430,Releases only,Yes - See columns I-M,NA,NA,NA,NA,x,2020-07-03T00:00:00Z,NA,https://www.arkansasonline.com/news/2020/jul/03/states-prison-system-below-capacity/?news-arkansas,https://perma.cc/YF7U-575Y
California,Statewide,CDCR,NA,114000,3418,Releases only,Yes - See columns I-M,NA,x,x,NA,NA,2020-04-13T00:00:00Z,Yes,https://www.courtlistener.com/recap/gov.uscourts.cand.76/gov.uscourts.cand.76.3275.0.pdf,perma.cc/333H-WKFB
Colorado,Statewide,Governor,NA,NA,52,Releases only,No,NA,NA,NA,NA,NA,2020-04-15T00:00:00Z,No,https://www.denverpost.com/2020/04/13/colorado-prison-jail-coronavirus-early-release/,perma.cc/Q5JR-WE8Q
Colorado,Statwide,Governor,NA,20000,3500,Mix,Yes - See columns I-M,NA,NA,x,x,NA,2020-04-23T00:00:00Z,No,https://www.cpr.org/2020/04/23/colorado-corrections-agrees-to-release-some-inmates-early-to-reduce-prison-populations/?eType=EmailBlastContent&eId=07a90610-fdf3-4e1b-994a-712a02c5065c,perma.cc/5DK5-33CC
Connecticut,Statewide,Governor,NA,12400,2000,Mix,Yes - See columns I-M,NA,NA,x,x,x,2020-06-02T00:00:00Z,NA,https://patch.com/connecticut/across-ct/ct-prison-population-down-16-percent-report,perma.cc/DA35-T2SM
Federal BOP,Nationwide,AG,NA,174000,1440,Releases only,Yes - See columns I-M,NA,x,NA,x,NA,2020-04-22T00:00:00Z,No,https://www.politico.com/amp/news/2020/04/22/coronavirus-prisoners-released-ohio-louisiana-202953?utm_source=The+Marshall+Project+Newsletter&utm_campaign=8d638060bd-EMAIL_CAMPAIGN_2020_04_23_11_44&utm_medium=email&utm_term=0_5e02cdad9d-8d638060bd-166145513,perma.cc/Z2ER-PYVU
Federal BOP,Nationwide,AG,NA,NA,960,Releases only,Yes - See columns I-M,NA,NA,NA,x,NA,2020-05-13T00:00:00Z,Yes,https://www.washingtonpost.com/investigations/come-on-were-human-beings-judges-question-response-to-coronavirus-pandemic-in-federal-prisons/2020/05/12/925e5d32-912a-11ea-a9c0-73b93422d691_story.html?utm_campaign=87f280aae2-EMAIL_CAMPAIGN_2020_05_14_11_40&utm_medium=email&utm_source=The%20Marshall%20Project%20Newsletter,perma.cc/7QDQ-W458
Florida,Statewide,NA,NA,96009,3,Releases only,Yes - See columns I-M,NA,NA,NA,x,NA,2020-05-08T00:00:00Z,NA,https://www.miamiherald.com/news/special-reports/florida-prisons/article242573521.html#storylink=cpy,perma.cc/NEU9-UBNV
Hawaii,Statewide,courts,NA,2189,823,Releases only,No,NA,x,NA,x,NA,2020-05-09T00:00:00Z,Yes,https://www.staradvertiser.com/2020/05/09/hawaii-news/hwaii-inmates-released-during-covid-19-pandemic-are-back-behind-bars-for-new-crimes/,perma.cc/U35E-SW9V
Illinois,Decatur,NA,NA,NA,6,Releases only,Yes - See columns I-M,NA,NA,NA,NA,x,2020-03-29T00:00:00Z,NA,https://www.chicagotribune.com/coronavirus/ct-coronavirus-woman-babies-released-prison-20200327-t6rfew4m6jbuxmw4lrw5v47dfi-story.html,perma.cc/W346-PHF5
Illinois,Statewide,DOCCS?,NA,37000,644,Releases only,Yes - See columns I-M,NA,x,NA,x,x,2020-04-05T00:00:00Z,Yes,"4/10/20 Order, Money v. Pritker 20 Civ 209 (N.D.IL)",NA
Illinois,Statewide,Governor,NA,NA,4000,Releases only,No,NA,x,NA,x,NA,2020-04-28T00:00:00Z,No,https://wrex.com/2020/04/28/almost-4000-inmates-released-from-il-prisons-64-charged-with-murder/,perma.cc/F8DF-ULHB
Indiana,Statewide,NA,NA,26891,1015,Mix,No,NA,NA,NA,NA,NA,2020-07-18T00:00:00Z,NA,https://wfpl.org/indiana-left-it-to-county-courts-to-release-prisoners-during-the-covid-crisis-most-of-them-havent/,https://perma.cc/C4MU-QRGT
Iowa,Statewide,Parole Board,6933,8519,1000,Mix,Yes - See columns I-M,NA,NA,NA,NA,x,2020-05-13T00:00:00Z,No,http://www.kmaland.com/news/hundreds-of-iowa-prisoners-getting-early-parole-due-to-covid-19-concerns/article_e508b620-83fd-11ea-b6d6-738156a1cd88.html?eType=EmailBlastContent&eId=07a90610-fdf3-4e1b-994a-712a02c5065c,perma.cc/BP7G-8BNB
Kentucky,Statewide,Governor,NA,12240,1000,Releases only,Yes - See columns I-M,NA,x,x,x,NA,2020-04-02T00:00:00Z,No,https://www.fox19.com/2020/04/02/watch-live-gov-beshear-provides-update-covid-kentucky/,perma.cc/7X9J-Q3HE
Kentucky,Statewide,Governor,NA,NA,200,Releases only,No,NA,NA,NA,NA,x,2020-07-19T00:00:00Z,NA,https://www.wkdzradio.com/2020/07/18/beshear-says-another-round-of-prisoner-releases-could-occur-due-to-covid-19/,https://perma.cc/AAK5-EJUM
Louisiana,Statewide,Governor,NA,32000,63,Releases only,Yes - See columns I-M,NA,x,x,x,NA,2020-06-30T00:00:00Z,No,"https://www.theadvocate.com/baton_rouge/news/coronavirus/article_39acdb9a-ba3e-11ea-ac28-df318eb8fe9b.html
program described: https://www.theadvocate.com/baton_rouge/news/coronavirus/article_62e9f822-7e79-11ea-bfb3-933881495eb6.html",; https://perma.cc/TG3R-V564
MA,State and County Prisons (all),court order,NA,NA,1158,Releases only,No,NA,NA,NA,NA,NA,2020-05-11T00:00:00Z,NA,https://cambridge.wickedlocal.com/news/20200512/coalition-presses-baker-to-reduce-covid-19-risks-in-prisons/1,https://perma.cc/Z7YG-6CBE
Maine,Statewide,NA,NA,2240,157,Mix,No,NA,NA,NA,NA,NA,2020-04-14T00:00:00Z,NA,https://www.wmtw.com/article/maine-prisons-and-jails-increase-safety-precautions-decrease-population-during-coronavirus-outbreak/32147891,perma.cc/M8H9-HGK7
Maryland,Baltimore City,Prosecutor,NA,NA,60,Releases only,Yes - See columns I-M,NA,x,NA,NA,NA,2020-04-03T00:00:00Z,NA,https://www.wbal.com/article/444619/3/dozens-released-from-baltimore-jails-prisons?utm_source=The+Marshall+Project+Newsletter&utm_campaign=093f6d2f3b-EMAIL_CAMPAIGN_2020_04_07_11_34&utm_medium=email&utm_term=0_5e02cdad9d-093f6d2f3b-166145513,perma.cc/M5Y4-9GP6
Maryland,Statewide,Gov,NA,19050,650,Mix,No,NA,NA,NA,NA,NA,2020-04-19T00:00:00Z,NA,https://www.baltimoresun.com/coronavirus/bs-md-pol-hogan-prisoners-20200419-7mzvooaoxfbyngowb2xdeucrme-story.html?utm_source=The+Marshall+Project+Newsletter&utm_campaign=f1efaf562f-EMAIL_CAMPAIGN_2020_04_20_11_35&utm_medium=email&utm_term=0_5e02cdad9d-f1efaf562f-166145513,perma.cc/5MBB-NBP5
Massachusetts,Statewide,SJC,NA,7697,390,Mix,NA,x,x,NA,x,x,2020-05-21T00:00:00Z,NA,"https://data.aclum.org/sjc-12926-tracker/
https://www.mass.gov/doc/sjc-12926-special-masters-weekly-report-4132020/download",perma.cc/NY2B-3MPR; perma.cc/F4M7-C32F
Michigan,Statewide,Gov,NA,38053,1958,Mix,Yes - See columns I-M,NA,NA,NA,x,NA,2020-06-09T00:00:00Z,NA,"4/14: https://www.woodtv.com/health/coronavirus/coronavirus-prompts-prisons-to-parole-some-early/
6/9: https://www.freep.com/story/news/local/michigan/2020/06/09/michigan-prison-population-drops-coronavirus/5326185002/",https://perma.cc/325U-WKCV; https://perma.cc/UA3W-U7ER
Nebraska,Statewide,Parole Board,NA,NA,NA,Releases only,Yes - See columns I-M,NA,NA,NA,NA,x,2020-05-13T00:00:00Z,NA,https://www.grandforksherald.com/news/crime-and-courts/6488747-North-Dakota-approves-early-release-for-more-state-prisoners-amid-coronavirus-crisis,perma.cc/NPE7-BDXB
New Jersey,Statewide,Governor,NA,20000,54,Releases only,Yes - See columns I-M,NA,x,x,x,NA,2020-04-24T00:00:00Z,NA,https://www.nj.com/coronavirus/2020/04/first-wave-of-50-inmates-approved-for-release-from-nj-prisons-under-murphys-order.html,perma.cc/JYZ8-J6L8
New Mexico,Statewide,Governor,NA,6700,11,Releases only,Yes - See columns I-M,NA,x,x,NA,NA,2020-04-06T00:00:00Z,No,https://www.abqjournal.com/1440938/gov-orders-early-release-of-some-inmates-from-prison.html,perma.cc/U5DZ-BXHR
New Mexico,Statewide,Governor,NA,NA,60,Releases only,Yes - See columns I-M,NA,x,x,NA,NA,2020-06-27T00:00:00Z,No,http://nmindepth.com/2020/06/27/massive-covid-19-outbreak-at-a-southern-nm-prison-hits-just-one-type-of-inmates-sex-offenders-thats-by-design/?utm_source=The+Marshall+Project+Newsletter&utm_campaign=30521e58ea-EMAIL_CAMPAIGN_2020_06_30_11_42&utm_medium=email&utm_term=0_5e02cdad9d-30521e58ea-166145513,https://perma.cc/AKN2-LLYD
New York,Statewide,Governor,NA,41000,8,Releases only,Yes - See columns I-M,NA,NA,NA,x,x,2020-05-05T00:00:00Z,Yes,https://www.cbsnews.com/news/coronavirus-new-york-prisons-pregnant-women-freed-covid-19/,perma.cc/94XV-SC2V
North Carolina,Statewide,NA,NA,NA,667,Releases only,No,NA,NA,NA,NA,NA,2020-05-03T00:00:00Z,NA,https://www.cbs17.com/news/north-carolina-news/hundreds-of-inmates-released-early-from-nc-prisons-over-covid-19-risk/,perma.cc/XQU5-RQCW
North Carolina,Statewide,NA,NA,34850,1083,Mix,Yes - See columns I-M,NA,x,x,x,NA,2020-05-07T00:00:00Z,NA,https://www.usnews.com/news/best-states/virginia/articles/2020-05-06/outer-banks-counties-announce-date-for-reopening-to-visitors,perma.cc/2VFM-UGHU
North Carolina,Statewide,NA,NA,NA,200,Releases only,No,NA,NA,NA,NA,NA,2020-05-11T00:00:00Z,NA,https://www.wcnc.com/article/news/health/coronavirus/virus-directives-mean-hundreds-more-nc-prisoners-go-home/275-30e42a25-2937-4310-8272-1f81530da659,perma.cc/R66H-U7TK
North Dakota,Statewide,State Parole Board,1512,1794,333,Mix,Yes - See columns I-M,NA,NA,x,x,x,2020-05-26T00:00:00Z,NA,"https://www.kfyrtv.com/content/news/More-than-100-DOCR-inmates-granted-early-parole-due-to-COVID-19-570318211.html
https://www.grandforksherald.com/newsmd/coronavirus/6506165-As-North-Dakota-slashes-its-prison-population-amid-pandemic-other-states-lag-behind",perma.cc/9AZW-DM7U
Ohio,Statewide,"Governor, State Parole Board",NA,49762,167,Releases only,Yes - See columns I-M,NA,x,x,x,NA,2020-04-07T00:00:00Z,No,https://www.dispatch.com/news/20200407/coronavirus-ohio-gov-mike-dewine-seeks-release-of-167-prisoners-to-slow-outbreak,perma.cc/5ZVB-Q8BW
Oklahoma,Statewide,Governor,NA,24562,775,Releases only,Yes - See columns I-M,NA,x,x,NA,NA,2020-04-10T00:00:00Z,No,https://kfor.com/health/coronavirus/gov-stitt-approves-hundreds-of-prison-commutations-to-mitigate-coronavirus-spread/?eType=EmailBlastContent&eId=07a90610-fdf3-4e1b-994a-712a02c5065c,perma.cc/27LB-CQ2J
Oregon,Statewide,Governor,NA,NA,57,Releases only,Yes - See columns I-M,NA,NA,NA,x,NA,2020-06-25T00:00:00Z,NA,https://www.opb.org/news/article/oregon-governor-commutes-57-prison-sentences-covid-19/,https://perma.cc/EXJ6-42ZY
Pennsylvania,Statewide,"Governor, DOC",NA,44500,746,Releases only,Yes - See columns I-M,NA,x,x,x,NA,2020-04-10T00:00:00Z,No,https://famm.org/wp-content/uploads/2020.4.10-TWW-SCI-reprieve-release-order-COVID-19.pdf,perma.cc/RP48-XV6R
Pennsylvania,Statewide,NA,NA,NA,2575,Mix,Yes - See columns I-M,x,NA,NA,NA,x,2020-06-22T00:00:00Z,NA,https://www.erienewsnow.com/story/42276002/pennsylvanias-prison-population-reduced-by-nearly-3500-since-march-1,https://perma.cc/N87W-2LHL
Pennsylvania,Statewide,Governor,NA,NA,150,Releases only,Yes - See columns I-M,NA,x,x,NA,x,2020-06-12T00:00:00Z,NA,https://www.ydr.com/story/news/watchdog/2020/05/08/temporary-reprieve-program-state-prison-pennsylvania-one-month-later/3061010001/,perma.cc/T6XP-GC5U
Rhode Island,Statewide,"Prosecutors, Public Defender, DOC",NA,2740,52,Releases only,Yes - See columns I-M,NA,x,x,NA,NA,2020-04-04T00:00:00Z,Yes,https://www.providencejournal.com/news/20200403/ri-supreme-court-oks-release-of-52-aci-inmates,perma.cc/3JUV-NFLY
Vermont,Statewide,NA,NA,1630,300,Mix,No,NA,NA,NA,NA,NA,2020-04-26T00:00:00Z,NA,https://www.vpr.org/post/vermont-trying-shrink-its-prison-population-350-inmates-are-locked-past-their-minimums#stream/0,perma.cc/MWZ2-W5VH
Virginia,Statewide,Governor,NA,NA,62,Releases only,Yes - See columns I-M,NA,NA,x,NA,NA,2020-04-29T00:00:00Z,No,https://www.richmond.com/news/virginia/62-inmates-released-early---so-far---in-covid-19-relief-for/article_2fc22cbb-15d9-59a7-b763-3b1105125c1b.html,perma.cc/N2X6-LWCC
Virginia,Statewide,Governor,NA,30000,169,Releases only,Yes - See columns I-M,NA,NA,x,x,NA,2020-05-12T00:00:00Z,No,https://vadoc.virginia.gov/news-press-releases/2020/covid-19-updates/,perma.cc/MEW7-27XA
Virginia,Statewide,Governor,NA,NA,336,Releases only,Yes - See columns I-M,NA,X,X,NA,X,2020-06-08T00:00:00Z,NA,"updated releases: https://vadoc.virginia.gov/news-press-releases/2020/covid-19-updates/
other info: https://www.nbc12.com/2020/05/08/virginia-department-corrections-clears-prisoners-early-release/",perma.cc/VX37-SUMJ; perma.cc/4VLX-EACD
West Virginia,Statewide,NA,NA,6800,87,Mix,No,--,NA,--,--,NA,NA,NA,https://wchstv.com/news/coronavirus/wva-taking-steps-to-reduce-inmate-population-amid-covid-19-pandemic,perma.cc/D23J-RLLQ
Wisconsin,Milwaukee Secure Detention Facility,NA,NA,NA,65,Releases only,No,--,--,--,--,--,2020-04-09T00:00:00Z,NA,https://madison.com/wsj/news/local/wisconsin-doc-says-it-doesnt-know-how-3-more-prisoners-contracted-covid-19/article_fa0d8d00-14f9-5a67-894e-04f6af6b8532.html,perma.cc/7EMS-P37B
Wisconsin,Statewide,NA,NA,22000,1572,Releases only,Yes - See columns I-M,x,NA,NA,NA,NA,2020-05-04T00:00:00Z,NA,https://madison.com/wsj/news/local/crime-and-courts/wisconsin-doc-has-released-nearly-1-600-inmates-so-far-to-combat-covid-19-spread/article_03537daa-e1ec-5fe8-ac68-f5cf38ce8be5.html,perma.cc/58WK-99UW
