State,Facility,Authorizing_Agent,Known_Capacity,Population_Prior_to_Releases,Overall_Pop_Reduction_or_Total_Number_of_Releases,releases_only_or_mix,Has_detailed_breakdown,Parole_Tech_Violation ,Lower_Level_NonViolent_Crimes,Short_Time_Left_on_Sentence,Vulnerable_Populations,Other,Date,Legal_Filing,Source,Permalinks,Additional_Notes,
TOTAL,,,,906385,41707,,,,,,,,,,,,,
Arkansas,Statewide,Parole Board/Gov, ,17759,300,Releases only,Yes - See columns I-M,,,,,x ,5/12/20,,https://www.nwahomepage.com/lifestyle/health/coronavirus/approx-800-inmates-approved-for-early-release-covid-19-precaution/,perma.cc/7EWY-M4JA,"First 300 released. 1234 approved by Parole Board for early release, approved by ADOC, acceptable parole plan. and Covid 19 negative.",
Arkansas,Statewide,Governor and ADOC,15346,,430,Releases only,Yes - See columns I-M,,,,,x ,7/3/20,,https://www.arkansasonline.com/news/2020/jul/03/states-prison-system-below-capacity/?news-arkansas,https://perma.cc/YF7U-575Y,"First 300 released as of 5/12 (see above). Addition 430 released between 5/12 and 7/3. Of 1234 approved by Parole Board for early release, approved by ADOC, acceptable parole plan. and Covid 19 negative.", 
California,Statewide,CDCR,,114000,3418,Releases only,Yes - See columns I-M,,x,x,,,4/13/20,Yes,https://www.courtlistener.com/recap/gov.uscourts.cand.76/gov.uscourts.cand.76.3275.0.pdf,perma.cc/333H-WKFB,"This is a declaration opposing further relief sought in the Plata case.  At page 3, lines 1-9, the declarant gives the number and breakdown of persons released.  This was release was annoucned after the Plata plaintiffs filed a motion for a prisooner reliease order before the three-judge court.  ",
Colorado,Statewide,Governor,,,52,Releases only,No,,,,,,4/15/20,No,https://www.denverpost.com/2020/04/13/colorado-prison-jail-coronavirus-early-release/,perma.cc/Q5JR-WE8Q,52 early release pursuant to a governor order,
Colorado,Statwide,Governor,,"20,000",3500,Mix,Yes - See columns I-M,,,x,x,,4/23/20,No,https://www.cpr.org/2020/04/23/colorado-corrections-agrees-to-release-some-inmates-early-to-reduce-prison-populations/?eType=EmailBlastContent&eId=07a90610-fdf3-4e1b-994a-712a02c5065c,perma.cc/5DK5-33CC,"150 people released due to early release for medical need, eligible for parole in 2 months, or scheduled release by August 2021 and good behavior.(52 accounted for below)  Other reductions account for rest.",
Connecticut,Statewide,Governor,,12400,2000,Mix,Yes - See columns I-M,,,x,x,x,6/2/20,,https://patch.com/connecticut/across-ct/ct-prison-population-down-16-percent-report,perma.cc/DA35-T2SM,"560 early releases in May.  early releases since March of people serving low offenses, over 60 or vulnerable medical conditions; furloughs permitted for 45 days for people who have served at least 40% of time, with less than 2 years left on sentence",
Federal BOP,Nationwide,AG,,"174,000",1440,Releases only,Yes - See columns I-M,,x,,x,,4/22/20,No,https://www.politico.com/amp/news/2020/04/22/coronavirus-prisoners-released-ohio-louisiana-202953?utm_source=The+Marshall+Project+Newsletter&utm_campaign=8d638060bd-EMAIL_CAMPAIGN_2020_04_23_11_44&utm_medium=email&utm_term=0_5e02cdad9d-8d638060bd-166145513,perma.cc/Z2ER-PYVU, Number as of 4.22.20; (As of 4/6/20:  886 had been moved to home release (https://www.youtube.com/watch?v=b1ZhoHbK3ow&feature=youtu.be)),
Federal BOP,Nationwide,AG,,,960,Releases only,Yes - See columns I-M,,,,x,,5/13/20,Yes,https://www.washingtonpost.com/investigations/come-on-were-human-beings-judges-question-response-to-coronavirus-pandemic-in-federal-prisons/2020/05/12/925e5d32-912a-11ea-a9c0-73b93422d691_story.html?utm_campaign=87f280aae2-EMAIL_CAMPAIGN_2020_05_14_11_40&utm_medium=email&utm_source=The%20Marshall%20Project%20Newsletter,perma.cc/7QDQ-W458,Article mentions total of 2400 federal furloughs to date. (I substracted those reported on by 4/22). Some law suits are involved in pushing these releases.,
Federal BOP,Nationwide,Court,,,6300,Releases only,Yes - See columns I-M,,,,x,,9/2/20,Yes,https://floridapolitics.com/archives/364267-greg-newburn-covid-19s-toll-on-florida-prisons-highlights-the-need-for-compassionate-release,,More than 1200 people in federal prison released March through August via compassionate release;  another 7500 total via home release for low level offenses.  (Subtracted the 2400 home releases above for count here),
Federal BOP,Colorado,Court,,,5,Releases only,Yes - See columns I-M,,,,x,,9/2/20,Yes,https://www.coloradopolitics.com/coronavirus/federal-judges-in-colorado-granted-12-of-pandemic-related-early-release-requests/article_2fa18f54-ec95-11ea-a89c-2b3a5214de3d.html,,Five of 42 compasssionate release petitions filed for people in CO BOP facilities prevailed in March through August,
