State,City,County,Facility,Confirmed Cases (Youth),Confirmed Cases (Staff),"Testing for Youth (Y/N)
includes testing at intake","Testing for Staff (Y/N)
includes verbal screenings and temperature checks","Visitation 
Policy (Suspended/Limited/Adapted*/
No Change/Resumed)
*includes increasing phone/video visitation","Education Policy
(In Person/Suspended/Educational Packets/Virtual)",Last Updated,Sources,Perma Links,Additional Notes
Alabama,NA,NA,NA,0,0,NA,NA,"Suspended, Adapted",Educational Packets,2020-04-20T00:00:00Z,https://dys.alabama.gov/wp-content/uploads/2020/04/DYS-COVID-19-Update-4-20-20-002.pdf,https://perma.cc/39U4-H8MZ,NA
Alaska,NA,Anchorage,McLaughlin Youth Facility,0,1,NA,NA,Resumed,NA,2020-07-06T00:00:00Z,"https://www.adn.com/alaska-news/2020/04/06/anchorage-juvenile-justice-center-staff-member-among-14-new-covid-19-cases/
http://dhss.alaska.gov/djj/Pages/COVID-19.aspx",perma.cc/UN69-ACG7,NA
Arizona,NA,Yavapai County,Mingus Mountain Academy,92,,N,N,NA,NA,2020-07-09T00:00:00Z,https://patch.com/arizona/across-az/covid-19-outbreaks-arizona-child-detention-centers-worry-advocates,https://perma.cc/ZSY2-LY8S,NA
Arizona,NA,NA,Queen Creek,23,8,NA,NA,NA,NA,2020-07-09T00:00:00Z,https://patch.com/arizona/across-az/covid-19-outbreaks-arizona-child-detention-centers-worry-advocates,https://perma.cc/BK4U-AYQC,NA
California,NA,Alameda,NA,1,0,Y,Y,Suspended,Educational packets,2020-07-07T00:00:00Z,"Chief Probation Officer 
Wendy Still",https://perma.cc/EVS7-6PMZ,NA
California,NA,Alameda,NA,0,0,Y,Y,Suspended,Virtual,2020-04-02T00:00:00Z,"Chief Probation 
Officer Wendy Still",https://perma.cc/HG26-UFHX,NA
California,NA,Los Angeles County,NA,40,54,NA,NA,Resuming,NA,2020-07-24T00:00:00Z,https://chronicleofsocialchange.org/top-stories/los-angeles-will-restart-family-visits-at-some-of-its-juvenile-probation-camps/45566,perma.cc/YL67-4FFG,"In-person family visits will now be available at the Afflerbaugh, Paige, Rockey and Kilpatrick juvenile camps, where visitors must get their temperature taken in a screening booth outside of the facility. No parent with a temperature over 100 degrees or those exhibiting COVID-19 symptoms will be permitted to enter."
California,NA,NA,Department of Juvenile Justice,46,13,NA,NA,NA,NA,2020-07-27T00:00:00Z,"https://www.cdcr.ca.gov/juvenile-justice/
https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/",perma.cc/3UAL-6K4L,"staff includes people at: Northern California Youth Correctional 
Center (NCYCC); OH Close Youth Correctional Facility
 (OH Close) - 12 youth; NA Chaderjian Youth Correctional 
Facility (NAC) - 9 youth ; Ventura Youth Conservation Camp 
- 6 youth ; Pine Grove Youth Conservation Camp - 0 youth"
Colorado,NA,NA,Department of Youth Services,10,22,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://www.colorado.gov/pacific/cdhs/dys-covid-19-dashboard,https://perma.cc/4EN3-6B4D,NA
Connecticut,NA,Hartford,NA,0,1,NA,Y,NA,NA,2020-03-25T00:00:00Z,https://ctmirror.org/2020/03/25/hartford-juvenile-detention-center-employee-second-doc-staffer-test-positive-for-covid-19/,perma.cc/NU2Y-WWZU,NA
Connecticut,NA,NA,Manson Youth Institute,0,0,Y,Y,NA,NA,2020-06-29T00:00:00Z,https://www.courant.com/coronavirus/hc-news-coronavirus-doc-mass-testing-numbers-20200629-fdgou7ywpneknewyl32d4e3bxe-story.html,NA,NA
Delaware,NA,NA,Ferris School,0,1,NA,NA,Suspended,NA,2020-03-31T00:00:00Z,https://kids.delaware.gov/news/pr/pr-20200330-dscyf-announces-positive-coronavirus-test-result-at-secure-facility.pdf,perma.cc/UP8H-786H,NA
Delaware,NA,NA,"Stevenson House 
Juvenile Detention",0,1,NA,NA,Suspended,NA,2020-03-31T00:00:00Z,https://kids.delaware.gov/news/pr/pr-20200331-dscyf-positive-coronavirus-test-result-stevenson-house.pdf,perma.cc/7MBT-5ALJ,NA
Florida,NA,NA,"Boward Regional 
Juvenile Detention Center",4,16,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/16/DJJ-COVID-UPDATE,https://perma.cc/6ASC-Z7R4,NA
Florida,NA,NA,"Palm Beach Regional
Juvenile Detention Center",0,5,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/FV9B-MD59,NA
Florida,NA,NA,"Miami-Dade Regional Juvenile
 Detention Center",4,13,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/4GAG-YN7C,NA
Florida,NA,NA,"Collier Regional Juvenile
 Detention Center",3,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/5FH2-HVSM,NA
Florida,NA,NA,"Manatee Regional Juvenile 
Detention Center",0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/3UX8-G4UZ,NA
Florida,NA,NA,"Orange Regional Juvenile 
Detention Center",3,5,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/EU2B-YQPS,NA
Florida,NA,NA,"Pinellas Regional Juvenile 
Detention Center",5,6,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/3RCR-EFUW,NA
Florida,NA,NA,"Volusia Regional Juvenile 
Detention Center",7,6,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/EY7X-F6KE,NA
Florida,NA,NA,"St. Lucie Regional Juvenile
 Detention Center",2,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/D6EM-6X4U,NA
Florida,NA,NA,"Leon Regional Juvenile 
Detention Center",1,6,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/7ADK-HNX4,NA
Florida,NA,NA,"Brevard Regional Juvenile 
Detention Center",0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/9JAL-A9BL,NA
Florida,NA,NA,"SWFL Regional Juvenile 
Detention Center",2,5,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/Z4J2-A2QQ,NA
Florida,NA,NA,"Duval Regional Juvenile 
Detention Center",1,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/LJ2G-X7KH,NA
Florida,NA,NA,"Broward Youth 
Treatment Center",2,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/W3FF-CLWP,NA
Florida,NA,NA,Columbus Youth Academy,1,6,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/W9TZ-ATD7,NA
Florida,NA,NA,Crestview Youth Academy,0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/8C2C-WX88,NA
Florida,NA,NA,Miami Youth Academy,4,8,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/BRN6-UTS6,NA
Florida,NA,NA,Miami Girls Academy,0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/9CG3-MFRY,NA
Florida,NA,NA,Dove Academy,0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/GF39-VK5N,NA
Florida,NA,NA,"Daytona Juvenile 
Residential Facility
",0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/2PSX-27WT,NA
Florida,NA,NA,Palm Beach Youth Academy,21,14,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/PGN2-ZLL7,NA
Florida,NA,NA,"Palm Beach Youth Academy
 Substance Abuse",10,0,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/P56C-BBTD,NA
Florida,NA,NA,"Okeechobee Youth 
Development Center",16,5,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/SUG8-Q3DY,NA
Florida,NA,NA,"Okeechobee Youth 
Treatment Center",0,3,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/9QNZ-V3Q6,NA
Florida,NA,NA,Okeechobee Girls Academy,1,4,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/5YEM-EHD8,NA
Florida,NA,NA,"Okeechobee Sex Offender 
Facility",2,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/CR4L-UR3Q,NA
Florida,NA,NA,Okeechobee JOCC Max Risk,17,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/6TWB-3RVY,NA
Florida,NA,NA,"Okeechobee Intensive 
Halfway House",0,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/U3SN-NARK,NA
Florida,NA,NA,Oak Grove Academy,9,5,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/CB3M-PXS8,NA
Florida,NA,NA,"Walton Academy for 
Growth and Change
",0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/HP9D-FLGB,NA
Florida,NA,NA,Escambia Boys Base,3,6,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/UJG2-LHVM,NA
Florida,NA,NA,Kissimmee Youth Academy,0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/FL8L-LD3B,NA
Florida,NA,NA,Lake Academy,11,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/3TPR-85ZH,NA
Florida,NA,NA,Redwood Youth Academy,16,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/45SZ-DQBY,NA
Florida,NA,NA,Okaloosa Youth Academy,3,7,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/L5GU-45FP,NA
Florida,NA,NA,Hillsborough Girls Academy,4,5,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/UG52-PSK5,NA
Florida,NA,NA,Duval Academy,0,3,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/H33X-TM6M,NA
Florida,NA,NA,"Pompano Youth 
Treatment Center",2,3,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/4GM3-UGC8,NA
Florida,NA,NA,"Cypress Creek 
Treatment Center",1,3,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/D5SE-FXPE,NA
Florida,NA,NA,Cypress Creek JOCC Max Risk,2,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/3MY5-L9N9,NA
Florida,NA,NA,Marion Youth Academy,1,0,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/PN25-9U8Z,NA
Florida,NA,NA,Orange Youth Academy,0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/09/DJJ-UPDATES-COVID19,https://perma.cc/EK7H-3THU,NA
Florida,NA,NA,Hope Forest Academy,0,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/16/DJJ-COVID-UPDATE,https://perma.cc/NZ5Q-53MJ,NA
Florida,NA,NA,Joann Bridges Academy,0,2,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/16/DJJ-COVID-UPDATE,https://perma.cc/36EZ-V98F,NA
Florida,NA,NA,"Juvenile Unit for Specialized 
Treatment Program",1,0,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/16/DJJ-COVID-UPDATE,https://perma.cc/527N-YA85,NA
Florida,NA,NA,"Hastings Comprehensive
 MH Treatment Program",0,1,NA,NA,NA,NA,2020-07-16T00:00:00Z,http://www.djj.state.fl.us/news/press-releases/press-release-detail/2020/07/16/DJJ-COVID-UPDATE,https://perma.cc/P4ZP-56H8,NA
Georgia,Midland,"Muscogee, Harris","Aaron Cohn Regional
 Youth Detention Center",1,3,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,https://perma.cc/YHY3-Z773,NA
Georgia,Augusta,Richmond,"Augusta Regional Youth 
Detention Center",0,1,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA4,NA
Georgia,Rome,Floyd,"Bob Richards Regional
Youth Detention Center",0,2,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA6,NA
Georgia,Cadwell,Laurens,"Cadwell Regional Youth
Detention Center",0,1,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA7,NA
Georgia,Claxton,Evans,"Claxton Regional Youth
Detention Center",0,0,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA8,NA
Georgia,Cordele,Crisp,"Crisp Regional Youth
Detention Center",0,6,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA9,NA
Georgia,Decatur,DeKalb,"DeKalb Regional Youth
Detention Center",0,2,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA10,NA
Georgia,Dalton,Whitfield,"Elbert Shaw Regional
Youth Detention Center",0,0,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA11,NA
Georgia,Gainesville,Hall,"Gainesville Regional 
Youth Detention Center",5,1,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA12,NA
Georgia,Thomasville,Thomas,"Loftiss Regional
Youth Detention Center",0,0,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA13,NA
Georgia,Macon,Bibb,"Macon Regional Youth
Detention Center",0,0,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA14,NA
Georgia,Marietta,Cobb,"Marietta Regional 
Youth Detention Center",2,9,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA15,NA
Georgia,Hampton,Lovejoy,"Martha Glaze Regional
Youth Detention Center",0,0,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA16,NA
Georgia,Atlanta,DeKalb,"Metro Regional Youth
Detention Center",31,11,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA17,NA
Georgia,Conyers,Rockdale,"Rockdale Regional
Youth Detention Center",12,9,NA,NA,NA,NA,2020-07-22T00:00:00Z,https://djj.georgia.gov/news-cloned/2020-06-08/covid-19-case-update,perma.cc/8FWK-TXA18,NA
