"Facility.ID","State","xwalk_name_raw","xwalk_name_clean","Jurisdiction"
1,"Alabama","ADOC HEADQUARTERS","ALABAMA HEADQUARTERS","state"
1,"Alabama","ALABAMA HEADQUARTERS","ALABAMA HEADQUARTERS","state"
2,"Alabama","ALABAMA TREATMENT AND EDUCATION FACILITY","ALABAMA TREATMENT AND EDUCATION FACILITY","state"
2,"Alabama","ATEF","ALABAMA TREATMENT AND EDUCATION FACILITY","state"
3,"Alabama","ALEX CITY","ALEX CITY COMMUNITY BASED FACILITY","state"
3,"Alabama","ALEX CITY COMMUNITY BASED FACILITY","ALEX CITY COMMUNITY BASED FACILITY","state"
3,"Alabama","ALEX CITY COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","ALEX CITY COMMUNITY BASED FACILITY","state"
4,"Alabama","ALICEVILLE FCI","ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION","federal"
4,"Alabama","ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION","ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION","federal"
5,"Alabama","BIBB","BIBB CORRECTIONAL FACILITY","state"
5,"Alabama","BIBB CORRECTIONAL FACILITY","BIBB CORRECTIONAL FACILITY","state"
6,"Alabama","BIRMINGHAM","BIRMINGHAM COMMUNITY BASED FACILITY","state"
6,"Alabama","BIRMINGHAM COMMUNITY BASED FACILITY","BIRMINGHAM COMMUNITY BASED FACILITY","state"
6,"Alabama","BIRMINGHAM COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","BIRMINGHAM COMMUNITY BASED FACILITY","state"
7,"Alabama","BULLOCK","BULLOCK CORRECTIONAL FACILITY","state"
7,"Alabama","BULLOCK CORRECTIONAL FACILITY","BULLOCK CORRECTIONAL FACILITY","state"
8,"Alabama","CAMDEN","CAMDEN COMMUNITY BASED FACILITY","state"
8,"Alabama","CAMDEN COMMUNITY BASED FACILITY","CAMDEN COMMUNITY BASED FACILITY","state"
8,"Alabama","CAMDEN COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","CAMDEN COMMUNITY BASED FACILITY","state"
9,"Alabama","CHILDERSBURG","CHILDERSBURG COMMUNITY BASED FACILITY","state"
9,"Alabama","CHILDERSBURG COMMUNITY BASED FACILITY","CHILDERSBURG COMMUNITY BASED FACILITY","state"
9,"Alabama","CHILDERSBURG COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","CHILDERSBURG COMMUNITY BASED FACILITY","state"
10,"Alabama","CJC","CJC","state"
11,"Alabama","DONALDSON","DONALDSON CORRECTIONAL FACILITY","state"
11,"Alabama","DONALDSON CORRECTIONAL FACILITY","DONALDSON CORRECTIONAL FACILITY","state"
12,"Alabama","DRAPER QIF","DRAPER QUARANTINE INTAKE FACILITY","state"
12,"Alabama","DRAPER QUARANTINE INTAKE FACILITY","DRAPER QUARANTINE INTAKE FACILITY","state"
13,"Alabama","EASTERLING","EASTERLING CORRECTIONAL FACILITY","state"
13,"Alabama","EASTERLING CORRECTIONAL FACILITY","EASTERLING CORRECTIONAL FACILITY","state"
14,"Alabama","ELBA","ELBA COMMUNITY BASED FACILITY","state"
14,"Alabama","ELBA COMMUNITY BASED FACILITY","ELBA COMMUNITY BASED FACILITY","state"
14,"Alabama","ELBA COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","ELBA COMMUNITY BASED FACILITY","state"
15,"Alabama","ELMORE","ELMORE CORRECTIONAL FACILITY","state"
15,"Alabama","ELMORE CORRECTIONAL FACILITY","ELMORE CORRECTIONAL FACILITY","state"
16,"Alabama","FOUNTAIN","FOUNTAIN CORRECTIONAL FACILITY","state"
16,"Alabama","FOUNTAIN CORRECTIONAL FACILITY","FOUNTAIN CORRECTIONAL FACILITY","state"
17,"Alabama","FRANK LEE","FRANK LEE COMMUNITY BASED FACILITY","state"
17,"Alabama","FRANK LEE COMMUNITY BASED FACILITY","FRANK LEE COMMUNITY BASED FACILITY","state"
17,"Alabama","FRANK LEE COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","FRANK LEE COMMUNITY BASED FACILITY","state"
18,"Alabama","HAMILTON A I","HAMILTON AGED AND INFIRMED","state"
18,"Alabama","HAMILTON AGED AND INFIRMED","HAMILTON AGED AND INFIRMED","state"
18,"Alabama","HAMILTON AGED INFIRMED","HAMILTON AGED AND INFIRMED","state"
18,"Alabama","HAMILTON AI","HAMILTON AGED AND INFIRMED","state"
19,"Alabama","HAMILTON CBF","HAMILTON COMMUNITY BASED FACILITY","state"
19,"Alabama","HAMILTON COMMUNITY BASED FACILITY","HAMILTON COMMUNITY BASED FACILITY","state"
19,"Alabama","HAMILTON COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","HAMILTON COMMUNITY BASED FACILITY","state"
20,"Alabama","HOLMAN","HOLMAN CORRECTIONAL FACILITY","state"
20,"Alabama","HOLMAN CORRECTIONAL FACILITY","HOLMAN CORRECTIONAL FACILITY","state"
21,"Alabama","KEETON CORRECTIONS INC BIRMINGHAM RRC","KEETON CORRECTIONS INC BIRMINGHAM RRC","federal"
22,"Alabama","KILBY","KILBY CORRECTIONAL FACILITY","state"
22,"Alabama","KILBY CORRECTIONAL FACILITY","KILBY CORRECTIONAL FACILITY","state"
23,"Alabama","LIMESTONE","LIMESTONE CORRECTIONAL FACILITY","state"
23,"Alabama","LIMESTONE CORRECTIONAL FACILITY","LIMESTONE CORRECTIONAL FACILITY","state"
24,"Alabama","LOXLEY","LOXLEY COMMUNITY BASED FACILITY","state"
24,"Alabama","LOXLEY COMMUNITY BASED FACILITY","LOXLEY COMMUNITY BASED FACILITY","state"
24,"Alabama","LOXLEY COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER","LOXLEY COMMUNITY BASED FACILITY","state"
25,"Alabama","MOBILE","MOBILE COMMUNITY BASED FACILITY","state"
