Date,Measure,Count,Reporting,Missing
2020-03-22,Residents.Confirmed,59,48,"Connecticut, Kentucky, Montana, Nebraska, District of Columbia"
2020-03-29,Residents.Confirmed,475,49,"Kentucky, Montana, Nebraska, District of Columbia"
2020-04-05,Residents.Confirmed,1534,52,District of Columbia
2020-04-12,Residents.Confirmed,3446,52,District of Columbia
2020-04-19,Residents.Confirmed,11767,52,District of Columbia
2020-04-26,Residents.Confirmed,17225,52,District of Columbia
2020-05-03,Residents.Confirmed,21981,51,"Rhode Island, District of Columbia"
2020-05-10,Residents.Confirmed,26819,52,District of Columbia
2020-05-17,Residents.Confirmed,31046,52,District of Columbia
2020-05-24,Residents.Confirmed,38368,52,District of Columbia
2020-05-31,Residents.Confirmed,43156,52,District of Columbia
2020-06-07,Residents.Confirmed,46293,52,District of Columbia
2020-06-14,Residents.Confirmed,49021,52,District of Columbia
2020-06-21,Residents.Confirmed,52543,52,District of Columbia
2020-06-28,Residents.Confirmed,55942,52,District of Columbia
2020-07-05,Residents.Confirmed,61096,52,District of Columbia
2020-07-12,Residents.Confirmed,70291,51,"New York, District of Columbia"
2020-07-19,Residents.Confirmed,77018,52,District of Columbia
2020-07-26,Residents.Confirmed,85032,52,District of Columbia
2020-08-02,Residents.Confirmed,95939,52,District of Columbia
2020-08-09,Residents.Confirmed,104049,51,"Montana, District of Columbia"
2020-08-16,Residents.Confirmed,109252,52,District of Columbia
2020-08-23,Residents.Confirmed,114731,52,District of Columbia
2020-08-30,Residents.Confirmed,122557,52,District of Columbia
2020-09-06,Residents.Confirmed,127786,52,District of Columbia
2020-09-13,Residents.Confirmed,133442,52,District of Columbia
2020-09-20,Residents.Confirmed,140020,52,District of Columbia
2020-09-27,Residents.Confirmed,146362,52,District of Columbia
2020-10-04,Residents.Confirmed,150133,52,Montana
2020-10-11,Residents.Confirmed,154241,53,""
2020-10-18,Residents.Confirmed,162933,53,""
2020-10-25,Residents.Confirmed,172215,53,""
2020-11-01,Residents.Confirmed,180282,53,""
2020-11-08,Residents.Confirmed,195667,53,""
2020-11-15,Residents.Confirmed,207605,53,""
2020-11-22,Residents.Confirmed,221399,53,""
2020-11-29,Residents.Confirmed,239442,53,""
2020-12-06,Residents.Confirmed,261580,53,""
2020-12-13,Residents.Confirmed,293219,53,""
2020-12-20,Residents.Confirmed,311503,53,""
2020-12-27,Residents.Confirmed,328438,53,""
2021-01-03,Residents.Confirmed,346082,53,""
2021-01-10,Residents.Confirmed,358342,53,""
2021-01-17,Residents.Confirmed,369561,53,""
2021-01-24,Residents.Confirmed,378684,53,""
2021-01-31,Residents.Confirmed,384377,53,""
2021-02-07,Residents.Confirmed,390060,53,""
2021-02-14,Residents.Confirmed,392441,53,""
2021-02-21,Residents.Confirmed,395346,53,""
2021-02-28,Residents.Confirmed,398213,53,""
2021-03-07,Residents.Confirmed,398739,53,""
2021-03-14,Residents.Confirmed,400361,53,""
2021-03-21,Residents.Confirmed,402700,53,""
2021-03-28,Residents.Confirmed,402509,53,""
2021-04-04,Residents.Confirmed,403510,53,""
2021-04-11,Residents.Confirmed,404552,53,""
2021-04-18,Residents.Confirmed,405585,53,""
2021-04-25,Residents.Confirmed,406552,53,""
2021-05-02,Residents.Confirmed,407556,53,""
2021-05-09,Residents.Confirmed,408687,53,""
2021-05-16,Residents.Confirmed,409636,53,""
2021-05-23,Residents.Confirmed,409618,53,""
2021-05-30,Residents.Confirmed,409118,52,Delaware
2021-06-06,Residents.Confirmed,411602,53,""
2021-06-13,Residents.Confirmed,411168,52,Wyoming
2021-06-20,Residents.Confirmed,409992,51,"Mississippi, Wyoming"
2021-06-27,Residents.Confirmed,409675,51,"Mississippi, Wyoming"
2021-07-04,Residents.Confirmed,411759,52,Wyoming
2021-07-11,Residents.Confirmed,404553,50,"Louisiana, Nevada, Wyoming"
2021-07-18,Residents.Confirmed,405550,49,"Georgia, Louisiana, Rhode Island, Wyoming"
2021-07-25,Residents.Confirmed,407929,50,"Georgia, Louisiana, Wyoming"
2021-08-01,Residents.Confirmed,410593,50,"Georgia, Louisiana, Wyoming"
2020-03-22,Staff.Confirmed,97,36,"Arizona, Connecticut, Georgia, Indiana, Kentucky
 Maine, Maryland, Michigan, Mississippi, Montana
 Nebraska, Ohio, Pennsylvania, South Dakota, Utah
 Vermont, District of Columbia"
2020-03-29,Staff.Confirmed,495,47,"Indiana, Mississippi, Montana, North Dakota, Ohio
 District of Columbia"
2020-04-05,Staff.Confirmed,1575,49,"Alaska, Hawaii, North Dakota, District of Columbia"
2020-04-12,Staff.Confirmed,2969,52,District of Columbia
2020-04-19,Staff.Confirmed,4441,51,"Mississippi, District of Columbia"
2020-04-26,Staff.Confirmed,5758,51,"Alaska, District of Columbia"
2020-05-03,Staff.Confirmed,6475,51,"North Dakota, District of Columbia"
2020-05-10,Staff.Confirmed,7002,50,"Arkansas, North Dakota, District of Columbia"
2020-05-17,Staff.Confirmed,7530,50,"North Carolina, North Dakota, District of Columbia"
2020-05-24,Staff.Confirmed,8166,51,"North Carolina, District of Columbia"
2020-05-31,Staff.Confirmed,8704,51,"North Carolina, District of Columbia"
2020-06-07,Staff.Confirmed,9191,51,"Virginia, District of Columbia"
2020-06-14,Staff.Confirmed,9964,52,District of Columbia
2020-06-21,Staff.Confirmed,10569,52,District of Columbia
2020-06-28,Staff.Confirmed,11579,52,District of Columbia
2020-07-05,Staff.Confirmed,12979,52,District of Columbia
2020-07-12,Staff.Confirmed,13300,50,"Mississippi, New York, District of Columbia"
2020-07-19,Staff.Confirmed,16518,52,District of Columbia
2020-07-26,Staff.Confirmed,18209,52,District of Columbia
2020-08-02,Staff.Confirmed,19888,52,District of Columbia
2020-08-09,Staff.Confirmed,21895,51,"Montana, District of Columbia"
2020-08-16,Staff.Confirmed,23399,52,District of Columbia
2020-08-23,Staff.Confirmed,24108,50,"Alaska, Virginia, District of Columbia"
2020-08-30,Staff.Confirmed,26133,51,"Alaska, District of Columbia"
2020-09-06,Staff.Confirmed,26285,49,"Alaska, Arkansas, Virginia, District of Columbia"
2020-09-13,Staff.Confirmed,28352,51,"Arkansas, District of Columbia"
2020-09-20,Staff.Confirmed,29402,51,"Arkansas, District of Columbia"
2020-09-27,Staff.Confirmed,30604,51,"Arkansas, District of Columbia"
2020-10-04,Staff.Confirmed,31796,51,"Arkansas, Montana"
2020-10-11,Staff.Confirmed,33050,51,"Alaska, Arkansas"
2020-10-18,Staff.Confirmed,35446,52,Arkansas
2020-10-25,Staff.Confirmed,38503,52,Arkansas
