Date,State,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Tadmin,Residents.Tested,Residents.Active,Staff.Active,Staff.Initiated,Residents.Initiated,Residents.Completed,Staff.Completed,Residents.Vadmin,Staff.Vadmin
2020-03-22,Alabama,0,1,0,0,,,,,,,,,,
2020-03-29,Alabama,0,2,0,0,,17,,,,,,,,
2020-04-05,Alabama,0,2,0,0,,30,,,,,,,,
2020-04-12,Alabama,3,6,1,0,,50,,,,,,,,
2020-04-19,Alabama,4,9,1,0,,63,,,,,,,,
2020-04-26,Alabama,6,16,1,0,,78,,,,,,,,
2020-05-03,Alabama,9,17,1,0,,102,,,,,,,,
2020-05-10,Alabama,9,30,1,0,,125,,,,,,,,
2020-05-17,Alabama,9,43,1,0,,138,,,,,,,,
2020-05-24,Alabama,12,61,1,3,,152,,,,,,,,
2020-05-31,Alabama,22,83,2,3,,176,,,,,,,,
2020-06-07,Alabama,28,116,2,3,,220,,,,,,,,
2020-06-14,Alabama,48,144,6,3,,265,,,,,,,,
2020-06-21,Alabama,63,157,10,4,,289,,,,,,,,
2020-06-28,Alabama,75,173,9,2,,329,,,,,,,,
2020-07-05,Alabama,100,203,10,2,,490,,,,,,,,
2020-07-12,Alabama,146,233,13,2,,,,,,,,,,
2020-07-19,Alabama,181,281,15,2,,664,,,,,,,,
2020-07-26,Alabama,207,303,15,2,,736,,,,,,,,
2020-08-02,Alabama,235,333,16,2,,1040,,,,,,,,
2020-08-09,Alabama,300,348,18,2,,1269,,,,,,,,
2020-08-16,Alabama,330,353,18,2,,1393,,,,,,,,
2020-08-23,Alabama,342,361,20,2,,,,,,,,,,
2020-08-30,Alabama,359,367,20,2,,1726,,,,,,,,
2020-09-06,Alabama,393,374,21,2,,1886,,,,,,,,
2020-09-13,Alabama,404,379,22,2,,1954,,,,,,,,
2020-09-20,Alabama,409,392,23,2,,2011,,,,,,,,
2020-09-27,Alabama,427,404,23,2,,2079,,,,,,,,
2020-10-04,Alabama,441,450,26,2,,2834,,,,,,,,
2020-10-11,Alabama,441,450,26,2,,3155,,,,,,,,
2020-10-18,Alabama,501,478,27,2,3270,3249,,,,,,,,
2020-10-25,Alabama,538,503,27,2,5339,5339,90,67,,,,,,
2020-11-01,Alabama,711,527,28,2,6554,6555,252,92,,,,,,
2020-11-08,Alabama,751,542,32,2,,6783,231,133,,,,,,
2020-11-15,Alabama,775,582,32,2,6852,6853,241,170,,,,,,
2020-11-22,Alabama,834,645,34,2,6984,6915,80,185,,,,,,
2020-11-29,Alabama,855,667,34,2,7032,7038,130,229,,,,,,
2020-12-06,Alabama,1033,729,43,2,10584,10550,226,266,,,,,,
2020-12-13,Alabama,1068,770,48,2,10805,10805,199,270,,,,,,
2020-12-20,Alabama,1094,795,54,2,11111,11112,85,277,,,0,0,,
2020-12-27,Alabama,1164,813,54,2,12671,12688,123,290,,,0,0,,
2021-01-03,Alabama,1164,813,54,2,,12681,96,280,,,0,0,,
2021-01-10,Alabama,1266,867,54,3,14447,14989,187,320,,,0,0,,
2021-01-17,Alabama,1307,919,57,3,14552,14628,133,340,,,0,0,,
