State,Web.Group,Measure,Val,Rate,Date
Alabama,Prison,Residents.Confirmed,0,0,2020-03-29
Alabama,Prison,Staff.Confirmed,4,0.0010851871947911015,2020-03-29
Alabama,Prison,Residents.Confirmed,0,0,2020-04-05
Alabama,Prison,Residents.Deaths,0,0,2020-04-05
Alabama,Prison,Staff.Confirmed,2,5.425935973955507e-4,2020-04-05
Alabama,Prison,Staff.Deaths,0,0,2020-04-05
Alabama,Prison,Residents.Confirmed,3,1.4114326040931546e-4,2020-04-12
Alabama,Prison,Residents.Deaths,1,4.7047753469771816e-5,2020-04-12
Alabama,Prison,Staff.Confirmed,6,0.0016277807921866521,2020-04-12
Alabama,Prison,Staff.Deaths,0,0,2020-04-12
Alabama,Prison,Residents.Confirmed,4,1.8819101387908727e-4,2020-04-19
Alabama,Prison,Residents.Deaths,1,4.7047753469771816e-5,2020-04-19
Alabama,Prison,Staff.Confirmed,9,0.0024416711882799783,2020-04-19
Alabama,Prison,Staff.Deaths,0,0,2020-04-19
Alabama,Prison,Residents.Confirmed,6,2.822865208186309e-4,2020-04-26
Alabama,Prison,Residents.Deaths,1,4.7047753469771816e-5,2020-04-26
Alabama,Prison,Staff.Confirmed,16,0.004340748779164406,2020-04-26
Alabama,Prison,Staff.Deaths,0,0,2020-04-26
Alabama,Prison,Residents.Confirmed,9,4.234297812279464e-4,2020-05-03
Alabama,Prison,Residents.Deaths,1,4.7047753469771816e-5,2020-05-03
Alabama,Prison,Staff.Confirmed,17,0.004612045577862181,2020-05-03
Alabama,Prison,Staff.Deaths,0,0,2020-05-03
Alabama,Prison,Residents.Confirmed,9,4.234297812279464e-4,2020-05-10
Alabama,Prison,Residents.Deaths,1,4.7047753469771816e-5,2020-05-10
Alabama,Prison,Staff.Confirmed,30,0.008138903960933261,2020-05-10
Alabama,Prison,Staff.Deaths,0,0,2020-05-10
Alabama,Prison,Residents.Confirmed,9,4.234297812279464e-4,2020-05-17
Alabama,Prison,Residents.Deaths,1,4.7047753469771816e-5,2020-05-17
Alabama,Prison,Staff.Confirmed,43,0.01166576234400434,2020-05-17
Alabama,Prison,Staff.Deaths,0,0,2020-05-17
Alabama,Prison,Residents.Confirmed,12,5.645730416372619e-4,2020-05-24
Alabama,Prison,Residents.Deaths,1,4.7047753469771816e-5,2020-05-24
Alabama,Prison,Staff.Confirmed,61,0.016549104720564298,2020-05-24
Alabama,Prison,Staff.Deaths,0,0,2020-05-24
Alabama,Prison,Residents.Confirmed,22,0.00103505057633498,2020-05-31
Alabama,Prison,Residents.Deaths,2,9.409550693954363e-5,2020-05-31
Alabama,Prison,Staff.Confirmed,83,0.022517634291915355,2020-05-31
Alabama,Prison,Staff.Deaths,0,0,2020-05-31
Alabama,Prison,Residents.Confirmed,28,0.001317337097153611,2020-06-07
Alabama,Prison,Residents.Deaths,2,9.409550693954363e-5,2020-06-07
Alabama,Prison,Staff.Confirmed,116,0.031470428648941944,2020-06-07
Alabama,Prison,Staff.Deaths,0,0,2020-06-07
Alabama,Prison,Residents.Confirmed,48,0.0022582921665490474,2020-06-14
Alabama,Prison,Residents.Deaths,6,2.822865208186309e-4,2020-06-14
Alabama,Prison,Staff.Confirmed,144,0.03906673901247965,2020-06-14
Alabama,Prison,Staff.Deaths,0,0,2020-06-14
Alabama,Prison,Residents.Confirmed,63,0.0029640084685956247,2020-06-21
Alabama,Prison,Residents.Deaths,10,4.704775346977182e-4,2020-06-21
Alabama,Prison,Staff.Confirmed,157,0.042593597395550735,2020-06-21
Alabama,Prison,Staff.Deaths,1,2.7129679869777537e-4,2020-06-21
Alabama,Prison,Residents.Confirmed,75,0.0035285815102328866,2020-06-28
Alabama,Prison,Residents.Deaths,9,4.234297812279464e-4,2020-06-28
Alabama,Prison,Staff.Confirmed,173,0.04693434617471514,2020-06-28
Alabama,Prison,Staff.Deaths,2,5.425935973955507e-4,2020-06-28
Alabama,Prison,Residents.Confirmed,100,0.004704775346977182,2020-07-05
Alabama,Prison,Residents.Deaths,10,4.704775346977182e-4,2020-07-05
Alabama,Prison,Staff.Confirmed,203,0.0550732501356484,2020-07-05
Alabama,Prison,Staff.Deaths,2,5.425935973955507e-4,2020-07-05
Alabama,Prison,Residents.Confirmed,146,0.006868972006586685,2020-07-12
Alabama,Prison,Residents.Deaths,13,6.116207951070336e-4,2020-07-12
Alabama,Prison,Staff.Confirmed,233,0.06321215409658167,2020-07-12
Alabama,Prison,Staff.Deaths,2,5.425935973955507e-4,2020-07-12
Alabama,Prison,Residents.Confirmed,181,0.008515643378028698,2020-07-19
Alabama,Prison,Residents.Deaths,15,7.057163020465773e-4,2020-07-19
Alabama,Prison,Staff.Confirmed,281,0.07623440043407488,2020-07-19
Alabama,Prison,Staff.Deaths,2,5.425935973955507e-4,2020-07-19
Alabama,Prison,Residents.Confirmed,207,0.009738884968242767,2020-07-26
Alabama,Prison,Residents.Deaths,15,7.057163020465773e-4,2020-07-26
Alabama,Prison,Staff.Confirmed,303,0.08220293000542593,2020-07-26
Alabama,Prison,Staff.Deaths,2,5.425935973955507e-4,2020-07-26
Alabama,Prison,Residents.Confirmed,235,0.011056222065396377,2020-08-02
Alabama,Prison,Residents.Deaths,16,7.527640555163491e-4,2020-08-02
Alabama,Prison,Staff.Confirmed,333,0.0903418339663592,2020-08-02
Alabama,Prison,Staff.Deaths,2,5.425935973955507e-4,2020-08-02
Alabama,Prison,Residents.Confirmed,300,0.014114326040931546,2020-08-09
Alabama,Prison,Residents.Deaths,18,8.468595624558928e-4,2020-08-09
